date,storage,inflow,outflow,evaporation,elevation
1960-07-29,NA,0.125,NA,NA,NA
1960-07-30,NA,NA,NA,NA,NA
1960-07-31,NA,NA,NA,NA,NA
1960-08-01,NA,NA,NA,NA,NA
1960-08-02,NA,NA,NA,NA,NA
1960-08-03,NA,NA,NA,NA,NA
1960-08-04,NA,NA,NA,NA,NA
1960-08-05,NA,NA,NA,NA,NA
1960-08-06,NA,NA,NA,NA,NA
1960-08-07,NA,NA,NA,NA,NA
1960-08-08,NA,NA,NA,NA,NA
1960-08-09,NA,NA,NA,NA,NA
1960-08-10,NA,NA,NA,NA,NA
1960-08-11,NA,NA,NA,NA,NA
1960-08-12,NA,NA,NA,NA,NA
1960-08-13,NA,NA,NA,NA,NA
1960-08-14,NA,NA,NA,NA,NA
1960-08-15,NA,NA,NA,NA,NA
1960-08-16,NA,NA,NA,NA,NA
1960-08-17,NA,NA,NA,NA,NA
1960-08-18,NA,NA,NA,NA,NA
1960-08-19,NA,NA,NA,NA,NA
1960-08-20,NA,NA,NA,NA,NA
1960-08-21,NA,NA,NA,NA,NA
1960-08-22,NA,NA,NA,NA,NA
1960-08-23,NA,NA,NA,NA,NA
1960-08-24,NA,NA,NA,NA,NA
1960-08-25,NA,NA,NA,NA,NA
1960-08-26,NA,NA,NA,NA,NA
1960-08-27,NA,NA,NA,NA,NA
1960-08-28,NA,NA,NA,NA,NA
1960-08-29,NA,NA,NA,NA,NA
1960-08-30,NA,NA,NA,NA,NA
1960-08-31,NA,NA,NA,NA,NA
1960-09-01,NA,NA,NA,NA,NA
1960-09-02,NA,NA,NA,NA,NA
1960-09-03,NA,NA,NA,NA,NA
1960-09-04,NA,NA,NA,NA,NA
1960-09-05,NA,NA,NA,NA,NA
1960-09-06,NA,NA,NA,NA,NA
1960-09-07,NA,NA,NA,NA,NA
1960-09-08,NA,NA,NA,NA,NA
1960-09-09,NA,NA,NA,NA,NA
1960-09-10,NA,NA,NA,NA,NA
1960-09-11,NA,NA,NA,NA,NA
1960-09-12,NA,NA,NA,NA,NA
1960-09-13,NA,NA,NA,NA,NA
1960-09-14,NA,NA,NA,NA,NA
1960-09-15,NA,NA,NA,NA,NA
1960-09-16,NA,NA,NA,NA,NA
1960-09-17,NA,NA,NA,NA,NA
1960-09-18,NA,NA,NA,NA,NA
1960-09-19,NA,NA,NA,NA,NA
1960-09-20,NA,NA,NA,NA,NA
1960-09-21,NA,NA,NA,NA,NA
1960-09-22,NA,NA,NA,NA,NA
1960-09-23,NA,NA,NA,NA,NA
1960-09-24,NA,NA,NA,NA,NA
1960-09-25,NA,NA,NA,NA,NA
1960-09-26,NA,NA,NA,NA,NA
1960-09-27,NA,NA,NA,NA,NA
1960-09-28,NA,NA,NA,NA,NA
1960-09-29,NA,NA,NA,NA,NA
1960-09-30,NA,NA,NA,NA,NA
1960-10-01,NA,NA,NA,NA,NA
1960-10-02,NA,NA,NA,NA,NA
1960-10-03,NA,NA,NA,NA,NA
1960-10-04,NA,NA,NA,NA,NA
1960-10-05,NA,NA,NA,NA,NA
1960-10-06,NA,NA,NA,NA,NA
1960-10-07,NA,NA,NA,NA,NA
1960-10-08,NA,NA,NA,NA,NA
1960-10-09,NA,NA,NA,NA,NA
1960-10-10,NA,NA,NA,NA,NA
1960-10-11,NA,NA,NA,NA,NA
1960-10-12,NA,NA,NA,NA,NA
1960-10-13,NA,NA,NA,NA,NA
1960-10-14,NA,NA,NA,NA,NA
1960-10-15,NA,NA,NA,NA,NA
1960-10-16,NA,NA,NA,NA,NA
1960-10-17,NA,NA,NA,NA,NA
1960-10-18,NA,NA,NA,NA,NA
1960-10-19,NA,NA,NA,NA,NA
1960-10-20,NA,NA,NA,NA,NA
1960-10-21,NA,NA,NA,NA,NA
1960-10-22,NA,NA,NA,NA,NA
1960-10-23,NA,NA,NA,NA,NA
1960-10-24,NA,NA,NA,NA,NA
1960-10-25,NA,NA,NA,NA,NA
1960-10-26,NA,NA,NA,NA,NA
1960-10-27,NA,NA,NA,NA,NA
1960-10-28,NA,NA,NA,NA,NA
1960-10-29,NA,NA,NA,NA,NA
1960-10-30,NA,NA,NA,NA,NA
1960-10-31,NA,NA,NA,NA,NA
1960-11-01,NA,NA,NA,NA,NA
1960-11-02,NA,NA,NA,NA,NA
1960-11-03,NA,NA,NA,NA,NA
1960-11-04,NA,NA,NA,NA,NA
1960-11-05,NA,NA,NA,NA,NA
1960-11-06,NA,NA,NA,NA,NA
1960-11-07,NA,NA,NA,NA,NA
1960-11-08,NA,NA,NA,NA,NA
1960-11-09,NA,NA,NA,NA,NA
1960-11-10,NA,NA,NA,NA,NA
1960-11-11,NA,NA,NA,NA,NA
1960-11-12,NA,NA,NA,NA,NA
1960-11-13,NA,NA,NA,NA,NA
1960-11-14,NA,NA,NA,NA,NA
1960-11-15,NA,NA,NA,NA,NA
1960-11-16,NA,NA,NA,NA,NA
1960-11-17,NA,NA,NA,NA,NA
1960-11-18,NA,NA,NA,NA,NA
1960-11-19,NA,NA,NA,NA,NA
1960-11-20,NA,NA,NA,NA,NA
1960-11-21,NA,NA,NA,NA,NA
1960-11-22,NA,NA,NA,NA,NA
1960-11-23,NA,NA,NA,NA,NA
1960-11-24,NA,NA,NA,NA,NA
1960-11-25,NA,NA,NA,NA,NA
1960-11-26,NA,NA,NA,NA,NA
1960-11-27,NA,NA,NA,NA,NA
1960-11-28,NA,NA,NA,NA,NA
1960-11-29,NA,NA,NA,NA,NA
1960-11-30,NA,NA,NA,NA,NA
1960-12-01,NA,NA,NA,NA,NA
1960-12-02,NA,NA,NA,NA,NA
1960-12-03,NA,NA,NA,NA,NA
1960-12-04,NA,NA,NA,NA,NA
1960-12-05,NA,NA,NA,NA,NA
1960-12-06,NA,NA,NA,NA,NA
1960-12-07,NA,NA,NA,NA,NA
1960-12-08,NA,NA,NA,NA,NA
1960-12-09,NA,NA,NA,NA,NA
1960-12-10,NA,NA,NA,NA,NA
1960-12-11,NA,NA,NA,NA,NA
1960-12-12,NA,NA,NA,NA,NA
1960-12-13,NA,NA,NA,NA,NA
1960-12-14,NA,NA,NA,NA,NA
1960-12-15,NA,NA,NA,NA,NA
1960-12-16,NA,NA,NA,NA,NA
1960-12-17,NA,NA,NA,NA,NA
1960-12-18,NA,NA,NA,NA,NA
1960-12-19,NA,NA,NA,NA,NA
1960-12-20,NA,NA,NA,NA,NA
1960-12-21,NA,NA,NA,NA,NA
1960-12-22,NA,NA,NA,NA,NA
1960-12-23,NA,NA,NA,NA,NA
1960-12-24,NA,NA,NA,NA,NA
1960-12-25,NA,NA,NA,NA,NA
1960-12-26,NA,NA,NA,NA,NA
1960-12-27,NA,NA,NA,NA,NA
1960-12-28,NA,NA,NA,NA,NA
1960-12-29,NA,NA,NA,NA,NA
1960-12-30,NA,NA,NA,NA,NA
